case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp0.00,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.6181964034837619,0.0,0.5941068474247765,2.199731836411126,0.0,0.0,0.0,0.0,0.0,0.0828838505619003,optimal,0.14710658473661675,0.0,0.16334269798938927,0.6887505958098301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008001214641638558,1.5933788012747654e-18,0.11100855704274917,0.0
exp-0.05,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.891251,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.6056298974159512,0.0,0.5915693759976088,2.2035048586907537,0.0,0.0,0.0,0.0,0.0,0.0827879308378466,optimal,0.1467187443636123,0.0,0.16264505003131385,0.689658446694558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000977758910515742,-1.3726185484084832e-17,0.111472468411993,0.0
exp-0.10,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.794328,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.5938666328420715,0.0,0.5949820797628593,2.2025945352197898,0.0,0.0,0.0,0.0,0.0,0.08268443318020384,optimal,0.14614976859509168,0.0,0.1635833328383053,0.6890986225225831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011682760440197748,-1.2705843741158793e-17,0.11170132518334698,0.0
exp-0.15,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.707946,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.5791574250136774,0.0,0.5941983359229656,2.2054038613842804,0.0,0.0,0.0,0.0,0.0,0.08257170284813788,optimal,0.1455541633963222,0.0,0.16336785167713755,0.6896392171630451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014387677634951678,-7.835944458117177e-18,0.11218212063971858,0.0
exp-0.20,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.630957,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.5677423388186104,0.0,0.596069451950297,2.2056741904790536,0.0,0.0,0.0,0.0,0.0,0.08245233766631428,optimal,0.14498329901721682,0.0,0.16388229304653143,0.689452678179919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016817297563327272,1.0915905883563607e-17,0.11246694349738273,0.0
exp-0.25,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.562341,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.5523170216983523,0.0,0.5944976949801468,2.210144524024701,0.0,0.0,0.0,0.0,0.0,0.08232430162452678,optimal,0.1441453588323027,0.0,0.16345015693296736,0.6903502793558886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002054204878841319,-8.987683517840325e-18,0.11319462687212842,0.0
exp-0.30,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.501187,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.537694106982725,0.0,0.5993048164348858,2.208342987748804,0.0,0.0,0.0,0.0,0.0,0.08218785551383379,optimal,0.14328076234450662,0.0,0.16477181850172945,0.6894743608651652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024730582885987918,4.199365886056113e-18,0.11341555864947357,0.0
exp-0.35,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.446684,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.5210072082450204,0.0,0.6007026606152303,2.210144524024701,0.0,0.0,0.0,0.0,0.0,0.0820385867781165,optimal,0.14224066041111347,0.0,0.1651561393369057,0.6895837746166393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003019425635341494,8.272848136468006e-18,0.11396113161137769,0.0
exp-0.40,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.398107,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.50699940337349,0.0,0.6023035011839396,2.21230884172126,0.0,0.0,0.0,0.0,0.0,0.08187992529320563,optimal,0.14112877920633776,0.0,0.16559627164421256,0.6897229494531046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003551999696345116,8.131631340489291e-18,0.1146088403662905,0.0
exp-0.45,0.2,0.0118419,-1.0,0.0195287,0.0206486,-1.0,0.00423925,-1.0,0.12059,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,0.354813,0.9,6.0,1.36217e-05,0.3,1.14075e-08,1.0,0.2749382517596233,0.363571204277968,0.4867003202600843,0.0,0.6097974007268457,2.210255080963666,0.0,0.0,0.0,0.0,0.0,0.08170763031339771,optimal,0.1394127250497678,0.0,0.1676566312834014,0.688463048603044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004467595063786714,9.995052968704819e-18,0.11512205294441372,0.0
