case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp2.50,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,316.228,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,22.780234852362906,0.0,0.0,14.144025600077814,0.0,0.0,0.0,11.508881233914245,0.0,0.0,1.0470527673757193,0.0,0.0,0.4945322933644586,0.4450300241841303,3.6001265541727334,0.0,0.0,0.0,0.0024495018046090987,5.226229355812121,0.0,0.0
exp2.45,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,281.83799999999997,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,22.36905888288495,0.0,0.0,14.042717827051456,0.0,0.0,0.0,11.420032353949765,0.0,0.0,1.0467778921448072,0.0,0.0,0.4944774161734483,0.4449805826546296,3.6039482204378666,0.0,0.0,0.0,0.0027189413740114693,5.1122825620820525,0.0,0.0
exp2.40,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,251.18900000000002,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.972751751969746,0.0,0.0,13.940244083997333,0.0,0.0,0.0,11.330356733436307,0.0,0.0,1.046478250492443,0.0,0.0,0.49445987828978877,0.4449647293578165,3.609028461486914,0.0,0.0,0.0,0.0030168984395290794,5.002423384398812,0.0,0.0
exp2.35,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,223.872,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.73206424059891,0.0,0.0,13.835615989891512,0.0,0.0,0.0,11.243204033386366,0.0,0.0,1.0461191284571256,0.0,0.0,0.4942511871226268,0.4447768814391053,3.6109275097079907,0.0,0.0,0.0,0.003355177226396016,4.936068830763452,0.0,0.0
exp2.30,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,199.52599999999998,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.717956612580963,0.0,0.0,13.67846386019028,0.0,0.0,0.0,11.156646656984929,0.0,0.0,1.0455085144774625,0.0,0.0,0.4937015635555452,0.44428223399738054,3.6099167218837445,0.0,0.0,0.0,0.003910815080702028,4.932841296229704,0.0,0.0
exp2.25,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,177.828,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.806530011147412,0.0,0.0,13.557463600411833,0.0,0.0,0.0,11.068482132091043,0.0,0.0,1.0449636564563656,0.0,0.0,0.49299642836129137,0.4436477038854069,3.6031948843077943,0.0,0.0,0.0,0.004385068019518746,4.958104205236538,0.0,0.0
exp2.20,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,158.489,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.850006622551454,0.0,0.0,13.408509412787685,0.0,0.0,0.0,10.978717361377848,0.0,0.0,1.0442302422408907,0.0,0.0,0.4922185003788536,0.44294764143310095,3.5978554708828847,0.0,0.0,0.0,0.005040616704862025,4.970252302714018,0.0,0.0
exp2.15,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,141.254,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.06872139009591,0.0,0.0,13.300828947314344,0.0,0.0,0.0,10.886584142907527,0.0,0.0,1.0436180473211525,0.0,0.0,0.49214470216291095,0.44288115110352244,3.603136399853418,0.0,0.0,0.0,0.005645503738235939,4.753953351726322,0.0,0.0
exp2.10,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,125.89299999999999,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.037928203843876,0.0,0.0,13.117982298545694,0.0,0.0,0.0,10.791913616771069,0.0,0.0,1.0425003874921792,0.0,0.0,0.49105093654991305,0.4418968724427937,3.5950323475401014,0.0,0.0,0.0,0.006653676614940228,4.746566378679439,0.0,0.0
exp2.05,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,112.20200000000003,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.11508613758911,0.0,0.0,12.952229507353787,0.0,0.0,0.0,10.695762387041498,0.0,0.0,1.0413483099735374,0.0,0.0,0.48983939879749805,0.44080663601735826,3.5842002386226945,0.0,0.0,0.0,0.007684452806602439,4.769756161389637,0.0,0.0
exp2.00,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,100.0,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,21.20535100801677,0.0,0.0,12.76355508658874,0.0,0.0,0.0,10.595718146607416,0.0,0.0,1.0398830024866839,0.0,0.0,0.48829720245919805,0.43941885495247757,3.569837891095183,0.0,0.0,0.0,0.008995345020036436,4.796096461565114,0.0,0.0
exp1.95,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,89.1251,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,20.938731060674257,0.0,0.0,12.58152848714698,0.0,0.0,0.0,10.490613664042794,0.0,0.0,1.038281245352708,0.0,0.0,0.4869203063644612,0.438179800038584,3.5587106918575464,0.0,0.0,0.0,0.010459260973169177,4.723991336353538,0.0,0.0
exp1.90,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,79.4328,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,20.68790783595345,0.0,0.0,12.329768774588606,0.0,0.0,0.0,10.379503405879424,0.0,0.0,1.0358008312384333,0.0,0.0,0.48465962689780645,0.43614547088584477,3.53798146938448,0.0,0.0,0.0,0.012713324773528439,4.657579072620704,0.0,0.0
exp1.85,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,70.7946,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,20.585609406948706,0.0,0.0,12.121920167380999,0.0,0.0,0.0,10.261357930205925,0.0,0.0,1.0335190414970392,0.0,0.0,0.48246528449568793,0.4341708581966621,3.5162901442134795,0.0,0.0,0.0,0.014775384801986554,4.631065459308458,0.0,0.0
exp1.80,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,63.0957,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,20.303657683202758,0.0,0.0,11.837189614632754,0.0,0.0,0.0,10.134740215605012,0.0,0.0,1.030014486970894,0.0,0.0,0.47921974746274276,0.43125031021330723,3.4843303817962146,0.0,0.0,0.0,0.01795495027854165,4.5561418715142254,0.0,0.0
exp1.75,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,56.2341,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,20.54440046700842,0.0,0.0,11.587231492570272,0.0,0.0,0.0,10.002344098889745,0.0,0.0,1.0266102840968383,0.0,0.0,0.4755919432202509,0.4279858447119736,3.443343066763665,0.0,0.0,0.0,0.020995814411438888,4.626391814708744,0.0,0.0
exp1.70,0.0,-1.0,-1.0,0.0147721,-1.0,-1.0,0.7351350000000001,-1.0,0.02097,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,50.1187,0.9,4.0,1.36217e-05,0.3,1.14075e-08,1.0,0.275111568001756,0.0,0.0,0.0,20.174669072072795,0.0,0.0,11.326046012547316,0.0,0.0,0.0,9.863087610905998,0.0,0.0,1.022508653256454,0.0,0.0,0.4718145556705715,0.42458673499262867,3.4037683171707713,0.0,0.0,0.0,0.02471916742148883,4.526939725482764,0.0,0.0
