case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp0.45,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,2.82,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,7.069780658075545,0.0,0.0,0.0,0.0,0.0,0.20189844649525687,optimal,0.0,0.0,0.0,0.980049306862279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019950693137720844,0.0,1.590319360975332,0.0
exp0.40,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,2.51,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,6.877701225753541,0.0,0.0,0.0,0.0,0.0,0.19546269219550116,optimal,0.0,0.0,0.0,0.978572893756991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021427106243009114,0.0,1.5219612235542812,0.0
exp0.35,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,2.24,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,6.642159048145663,0.0,0.0,0.0,0.0,0.0,0.18940333063352238,optimal,0.0,0.0,0.0,0.9765290875052878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023470912494712254,0.0,1.438368676634833,0.0
exp0.30,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,2.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,6.388036974954545,0.0,0.0,0.0,0.0,0.0,0.1835244100514452,optimal,0.0,0.0,0.0,0.974034580929996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02596541907000394,0.0,1.3484717150264158,0.0
exp0.25,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1.78,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,6.193279814518702,0.0,0.0,0.0,0.0,0.0,0.17758802994819686,optimal,0.0,0.0,0.0,0.9719064856381554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02809351436184464,0.0,1.2797917149568394,0.0
exp0.20,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1.58,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,5.942040246104096,0.0,0.0,0.0,0.0,0.0,0.17167344215278404,optimal,0.0,0.0,0.0,0.9688180994237724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03118190057622758,0.0,1.1915366287204472,0.0
exp0.15,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1.41,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,5.740708885121899,0.0,0.0,0.0,0.0,0.0,0.16612535102788104,optimal,0.0,0.0,0.0,0.9660519589710536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03394804102894653,0.0,1.1211044838019468,0.0
exp0.10,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1.26,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,5.544175642234257,0.0,0.0,0.0,0.0,0.0,0.1608073530016063,optimal,0.0,0.0,0.0,0.9630179963016812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03698200369831887,0.0,1.0526846186740044,0.0
exp0.05,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1.12,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,5.3434585746156475,0.0,0.0,0.0,0.0,0.0,0.15539101101533123,optimal,0.0,0.0,0.0,0.9595395050865406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046049491345941,0.0,0.9831881638959049,0.0
exp0.00,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,5.153300778042776,0.0,0.0,0.0,0.0,0.0,0.15032839540651627,optimal,0.0,0.0,0.0,0.9558296106573856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044170389342614524,0.0,0.9177621592222162,0.0
