case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
exp1.60,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,39.8,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,18.847045363824094,0.0,0.0,0.0,0.0,0.0,0.5071438937122259,optimal,0.0,0.0,0.0,0.9970126947550549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029873052449451067,0.0,5.855230285251966,0.0
exp1.55,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,35.5,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,18.299438128373513,0.0,0.0,0.0,0.0,0.0,0.4936351173284406,optimal,0.0,0.0,0.0,0.996713614607931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032863853920690883,0.0,5.656435143334993,0.0
exp1.50,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,31.6,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,17.97371603096594,0.0,0.0,0.0,0.0,0.0,0.480532264212429,optimal,0.0,0.0,0.0,0.9965103258382542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003489674161745932,0.0,5.538215256890252,0.0
exp1.45,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,28.2,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,17.306419556480833,0.0,0.0,0.0,0.0,0.0,0.4680566687589824,optimal,0.0,0.0,0.0,0.9960445242752833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003955475724716618,0.0,5.29607127561423,0.0
exp1.40,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,25.1,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,16.89054890509767,0.0,0.0,0.0,0.0,0.0,0.45535962673777425,optimal,0.0,0.0,0.0,0.9957205454646337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004279454535366353,0.0,5.145196660877642,0.0
exp1.35,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,22.4,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,16.16333224751536,0.0,0.0,0.0,0.0,0.0,0.4428954652406827,optimal,0.0,0.0,0.0,0.9950923745315449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004907625468455178,0.0,4.88142979584253,0.0
exp1.30,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,20.0,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,15.611905325929186,0.0,0.0,0.0,0.0,0.0,0.43053892596807414,optimal,0.0,0.0,0.0,0.9945533167094439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005446683290556114,0.0,4.681485903712254,0.0
exp1.25,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,17.8,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,15.069560828668795,0.0,0.0,0.0,0.0,0.0,0.4180327213017559,optimal,0.0,0.0,0.0,0.9939550697868174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006044930213182566,0.0,4.484903308632391,0.0
exp1.20,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,15.8,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,14.128949125875984,0.0,0.0,0.0,0.0,0.0,0.40508854571829495,optimal,0.0,0.0,0.0,0.9927827732087955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007217226791204402,0.0,4.144096275668079,0.0
exp1.15,0.0,-1.0,-1.0,-1.0,0.0206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05e-08,-1.0,0.0,0.0,0.0,0.0,14.1,0.9,6.0,1.36e-05,0.3,1.14e-08,1.0,0.0,0.363571204277968,0.0,0.0,0.0,13.635079807598794,0.0,0.0,0.0,0.0,0.0,0.39220560894643247,optimal,0.0,0.0,0.0,0.9921047550005108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007895244999489102,0.0,3.965217631074387,0.0
