c-unmet,losses-v,losses-d,cost-of-E-v,cost-of-E-d,system-cost-v,system-cost-d
15.84893192,0.308372488,6.81434E-06,0.308372488,0.017986371,0.616744977,0.017993186
17.7827941,0.326644707,6.07329E-06,0.326644707,0.017987853,0.653289414,0.017993927
19.95262315,0.345999623,5.41282E-06,0.345999623,0.017989174,0.691999245,0.017994587
22.38721139,0.366501389,4.82418E-06,0.366501389,0.017990352,0.733002778,0.017995176
25.11886432,0.388217962,4.29956E-06,0.388217962,0.017991401,0.776435924,0.0179957
28.18382931,0.411221322,3.83198E-06,0.411221322,0.017992336,0.822442645,0.017996168
31.6227766,0.435587717,3.41526E-06,0.435587717,0.017993169,0.871175435,0.017996585
35.48133892,0.461397912,3.04385E-06,0.461397912,0.017993912,0.922795825,0.017996956
39.81071706,0.488737457,2.71284E-06,0.488737457,0.017994574,0.977474915,0.017997287
44.66835922,0.517696972,2.41782E-06,0.517696972,0.017995164,1.035393945,0.017997582
50.11872336,0.548372447,2.15488E-06,0.548372447,0.01799569,1.096744893,0.017997845
56.23413252,0.580865557,1.92054E-06,0.580865557,0.017996159,1.161731114,0.017998079
63.09573445,0.615284005,1.71168E-06,0.615284005,0.017996577,1.23056801,0.017998288
70.79457844,0.651741874,1.52554E-06,0.651741874,0.017996949,1.303483748,0.017998474
79.43282347,0.690360008,1.35964E-06,0.690360008,0.017997281,1.380720016,0.01799864
89.12509381,0.73126641,1.21178E-06,0.73126641,0.017997576,1.462532821,0.017998788
100,0.774596669,1.08E-06,0.774596669,0.01799784,1.549193338,0.01799892
112.2018454,0.820494407,9.62551E-07,0.820494407,0.017998075,1.640988815,0.017999037
125.8925412,0.869111758,8.57874E-07,0.869111758,0.017998284,1.738223515,0.017999142
141.2537545,0.920609867,7.64581E-07,0.920609867,0.017998471,1.841219734,0.017999235
158.4893192,0.975159431,6.81434E-07,0.975159431,0.017998637,1.950318862,0.017999319
177.827941,1.03294126,6.07329E-07,1.03294126,0.017998785,2.065882519,0.017999393
199.5262315,1.094146877,5.41282E-07,1.094146877,0.017998917,2.188293754,0.017999459
223.8721139,1.158979156,4.82418E-07,1.158979156,0.017999035,2.317958311,0.017999518
251.1886432,1.227652988,4.29956E-07,1.227652988,0.01799914,2.455305976,0.01799957
281.8382931,1.300396001,3.83198E-07,1.300396001,0.017999234,2.600792001,0.017999617
316.227766,1.377449308,3.41526E-07,1.377449308,0.017999317,2.754898616,0.017999658
354.8133892,1.459068311,3.04385E-07,1.459068311,0.017999391,2.918136621,0.017999696
398.1071706,1.545523543,2.71284E-07,1.545523543,0.017999457,3.091047087,0.017999729
446.6835922,1.637101571,2.41782E-07,1.637101571,0.017999516,3.274203141,0.017999758
501.1872336,1.734105937,2.15488E-07,1.734105937,0.017999569,3.468211875,0.017999785
562.3413252,1.836858174,1.92054E-07,1.836858174,0.017999616,3.673716348,0.017999808
630.9573445,1.945698863,1.71168E-07,1.945698863,0.017999658,3.891397727,0.017999829
707.9457844,2.060988769,1.52554E-07,2.060988769,0.017999695,4.121977538,0.017999847
794.3282347,2.183110031,1.35964E-07,2.183110031,0.017999728,4.366220062,0.017999864
891.2509381,2.312467433,1.21178E-07,2.312467433,0.017999758,4.624934866,0.017999879
1000,2.449489743,0.000000108,2.449489743,0.017999784,4.898979486,0.017999892
